"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Days in Trade","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-10-07","09:38:00",5735.61,"1 Oct 18 5590 P STO 20.85 | 1 Oct 18 5850 C STO 14.05 | 1 Oct 30 5590 P BTO 38.15 | 1 Oct 30 5850 C BTO 31.35",-3470,5874.15,"2024-10-17","09:32:00",10,-4120,"Below Delta",639.76,18.436887608069163,1,123577.52,3470,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.502,0.454,-13.27,-2.19,23.49,-4.9
"2024-09-30","09:35:00",5733.34,"2 Oct 11 5600 P STO 20.10 | 2 Oct 11 5850 C STO 13.55 | 2 Oct 23 5600 P BTO 34.45 | 2 Oct 23 5850 C BTO 27.30",-2820,5776.81,"2024-10-10","09:32:00",10,-3740,"Below Short/Long Ratio",1819.52,32.260992907801416,2,122937.76,5640,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.545,0.055,-11.65,6.82,46.1,-3.37
"2024-09-23","09:47:00",5706.43,"1 Oct 4 5585 P STO 18.05 | 1 Oct 4 5815 C STO 12.75 | 1 Oct 16 5585 P BTO 33.55 | 1 Oct 16 5820 C BTO 27.75",-3060,5702.7,"2024-10-03","09:59:00",10,-4140,"Below Short/Long Ratio",1069.76,34.95947712418301,1,121118.24,3560,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.502,0.097,9.35,-5.47,38.4,-5.56
"2024-08-26","09:35:00",5650.09,"1 Sep 6 5530 P STO 17.15 | 1 Sep 6 5760 C STO 12.40 | 1 Sep 18 5530 P BTO 33.55 | 1 Sep 18 5775 C BTO 23.75",-2785,5499.93,"2024-09-05","11:16:00",10,-3390,"Above Delta",594.76,21.355834829443445,1,120048.48,4285,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.516,0.585,5.05,10.43,24.6,-9.16
"2024-08-19","10:52:00",5573.83,"2 Aug 30 5465 P STO 16.05 | 2 Aug 30 5675 C STO 12.90 | 2 Sep 11 5465 P BTO 29.90 | 2 Sep 11 5675 C BTO 28.00",-2905,5609.97,"2024-08-29","09:42:00",10,-3605,"Below Short/Long Ratio",1379.52,23.743889845094664,2,119453.72,5810,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.5,0.097,2.98,16.6,48.02,-1.89
"2024-07-01","09:35:00",5475.28,"2 Jul 12 5385 P STO 13.10 | 2 Jul 12 5570 C STO 10.50 | 2 Jul 24 5385 P BTO 23.95 | 2 Jul 24 5570 C BTO 23.05",-2350,5591.02,"2024-07-10","09:32:00",9,-2630,"Below Delta",539.52,11.479148936170212,2,118074.2,4700,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.502,0.587,10.6,4.2,18.94,-10
"2024-06-17","09:50:00",5421.13,"2 Jun 28 5330 P STO 13.70 | 2 Jun 28 5505 C STO 10.90 | 2 Jul 10 5330 P BTO 23.85 | 2 Jul 10 5505 C BTO 25.35",-2470,5515.88,"2024-06-28","10:04:00",11,-3215,"Below Delta",1469.52,29.747368421052634,2,117534.68,4940,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.5,0.355,-0.49,-9.98,41.09,-0.4
"2024-06-10","09:35:00",5335.38,"2 Jun 21 5240 P STO 13.75 | 2 Jun 21 5430 C STO 11.80 | 2 Jul 3 5240 P BTO 24.15 | 2 Jul 3 5430 C BTO 24.85",-2355,5451.04,"2024-06-17","12:25:00",7,-3030,"Below Delta",1329.52,28.227600849256902,2,116065.16,4710,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.521,0.574,-5.77,-5.84,40.76,-1.91
"2024-05-13","09:35:00",5231.12,"2 May 24 5135 P STO 14.15 | 2 May 24 5325 C STO 12.10 | 2 Jun 5 5135 P BTO 23.45 | 2 Jun 5 5325 C BTO 22.95",-2025,5267.61,"2024-05-23","14:07:00",10,-2115,"Below Short/Long Ratio",159.52,3.9387654320987653,2,114735.64,4050,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.566,0.098,10.4,-1.96,26.42,-5.19
"2024-03-11","09:35:00",5107.42,"2 Mar 22 4990 P STO 16.95 | 2 Mar 22 5225 C STO 13.55 | 2 Apr 3 4990 P BTO 26.60 | 2 Apr 3 5225 C BTO 25.20",-2140,5250.63,"2024-03-21","09:32:00",10,-2670,"Below Delta",1039.52,24.287850467289722,2,114576.12,4280,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.589,0.545,-11.73,-4.54,32.01,-5.84
